,scootyname,price,cc
0,"
Honda Activa 6G	","<div class=""b fnt-black fnt-14"" title="" Ex-Showroom Price"">
Rs. 74,536	</div>","<div class=""clr-try fnt-12 pb-10 ht-spec of-hid"">109 cc | 50 kmpl | Petrol</div>"
1,"
TVS NTORQ 125	","<div class=""b fnt-black fnt-14"" title="" Ex-Showroom Price"">
Rs. 84,386	</div>","<div class=""clr-try fnt-12 pb-10 ht-spec of-hid"">124 cc | 54 kmpl | Petrol</div>"
2,"
Honda Dio	","<div class=""b fnt-black fnt-14"" title="" Ex-Showroom Price"">
Rs. 68,625	</div>","<div class=""clr-try fnt-12 pb-10 ht-spec of-hid"">109 cc | 55 kmpl | Petrol</div>"
3,"
TVS Jupiter	","<div class=""b fnt-black fnt-14"" title="" Ex-Showroom Price"">
Rs. 71,390	</div>","<div class=""clr-try fnt-12 pb-10 ht-spec of-hid"">109 cc | 64 kmpl | Petrol</div>"
4,"
Suzuki Access 125	","<div class=""b fnt-black fnt-14"" title="" Ex-Showroom Price"">
Rs. 79,400	</div>","<div class=""clr-try fnt-12 pb-10 ht-spec of-hid"">124 cc | 52 kmpl | Petrol</div>"
5,"
Honda Activa 125	","<div class=""b fnt-black fnt-14"" title="" Ex-Showroom Price"">
Rs. 77,743	</div>","<div class=""clr-try fnt-12 pb-10 ht-spec of-hid"">124 cc | 60 kmpl | Petrol</div>"
6,"
Suzuki Burgman Street	","<div class=""b fnt-black fnt-14"" title="" Ex-Showroom Price"">
Rs. 93,000	</div>","<div class=""clr-try fnt-12 pb-10 ht-spec of-hid"">124 cc | 55 kmpl | Petrol</div>"
7,"
Yamaha Fascino 125 Fi Hybrid	","<div class=""b fnt-black fnt-14"" title="" Ex-Showroom Price"">
Rs. 78,600	</div>","<div class=""clr-try fnt-12 pb-10 ht-spec of-hid"">125 cc | 68 kmpl | Petrol</div>"
8,"
Yamaha Aerox 155	","<div class=""b fnt-black fnt-14"" title="" Ex-Showroom Price"">
Rs. 1.40 Lakh	</div>","<div class=""clr-try fnt-12 pb-10 ht-spec of-hid"">155 cc | 48 kmpl | Petrol</div>"
9,"
Yamaha RayZR 125 Fi Hybrid	","<div class=""b fnt-black fnt-14"" title="" Ex-Showroom Price"">
Rs. 82,730	</div>","<div class=""clr-try fnt-12 pb-10 ht-spec of-hid"">125 cc | 71 kmpl | Petrol</div>"
10,"
Hero Xoom 110	","<div class=""b fnt-black fnt-14"" title="" Ex-Showroom Price"">
Rs. 68,599	</div>","<div class=""clr-try fnt-12 pb-10 ht-spec of-hid"">110 cc | 45 kmpl | Petrol</div>"
11,"
TVS Jupiter 125	","<div class=""b fnt-black fnt-14"" title="" Ex-Showroom Price"">
Rs. 82,825	</div>","<div class=""clr-try fnt-12 pb-10 ht-spec of-hid"">124 cc | 57 kmpl | Petrol</div>"
12,"
TVS XL100	","<div class=""b fnt-black fnt-14"" title="" Ex-Showroom Price"">
Rs. 46,671	</div>","<div class=""clr-try fnt-12 pb-10 ht-spec of-hid"">99 cc | 80 kmpl | Petrol</div>"
13,"
Suzuki Avenis	","<div class=""b fnt-black fnt-14"" title="" Ex-Showroom Price"">
Rs. 87,800	</div>","<div class=""clr-try fnt-12 pb-10 ht-spec of-hid"">124 cc | 55 kmpl | Petrol</div>"
14,"
Hero Maestro Edge 125	","<div class=""b fnt-black fnt-14"" title="" Ex-Showroom Price"">
Rs. 77,896	</div>","<div class=""clr-try fnt-12 pb-10 ht-spec of-hid"">124 cc | 65 kmpl | Petrol</div>"
15,"
Hero Pleasure Plus	","<div class=""b fnt-black fnt-14"" title="" Ex-Showroom Price"">
Rs. 68,368	</div>","<div class=""clr-try fnt-12 pb-10 ht-spec of-hid"">110 cc | 50 kmpl | Petrol</div>"
16,"
TVS Scooty Pep Plus	","<div class=""b fnt-black fnt-14"" title="" Ex-Showroom Price"">
Rs. 64,484	</div>","<div class=""clr-try fnt-12 pb-10 ht-spec of-hid"">87 cc | 50 kmpl | Petrol</div>"
17,"
Honda Grazia	","<div class=""b fnt-black fnt-14"" title="" Ex-Showroom Price"">
Rs. 82,520	</div>","<div class=""clr-try fnt-12 pb-10 ht-spec of-hid"">123 cc | 50 kmpl | Petrol</div>"
18,"
Hero Destini 125	","<div class=""b fnt-black fnt-14"" title="" Ex-Showroom Price"">
Rs. 71,608	</div>","<div class=""clr-try fnt-12 pb-10 ht-spec of-hid"">124 cc | 50 kmpl | Petrol</div>"
19,"
TVS Scooty Zest	","<div class=""b fnt-black fnt-14"" title="" Ex-Showroom Price"">
Rs. 73,036	</div>","<div class=""clr-try fnt-12 pb-10 ht-spec of-hid"">109 cc | 48 kmpl | Petrol</div>"
20,"
Aprilia SR 160	","<div class=""b fnt-black fnt-14"" title="" Ex-Showroom Price"">
Rs. 1.31 Lakh	</div>","<div class=""clr-try fnt-12 pb-10 ht-spec of-hid"">160 cc | 44 kmpl | Petrol</div>"
21,"
BMW C 400 GT	","<div class=""b fnt-black fnt-14"" title="" Ex-Showroom Price"">
Rs. 10.75 Lakh	</div>","<div class=""clr-try fnt-12 pb-10 ht-spec of-hid"">350 cc | 28 kmpl | Petrol</div>"
22,"
Aprilia SR 125	","<div class=""b fnt-black fnt-14"" title="" Ex-Showroom Price"">
Rs. 1.22 Lakh	</div>","<div class=""clr-try fnt-12 pb-10 ht-spec of-hid"">124 cc | 40 kmpl | Petrol</div>"
23,"
Hero Maestro Edge 110	","<div class=""b fnt-black fnt-14"" title="" Ex-Showroom Price"">
Rs. 68,698	</div>","<div class=""clr-try fnt-12 pb-10 ht-spec of-hid"">110 cc | 45 kmpl | Petrol</div>"
24,"
Vespa VXL 150	","<div class=""b fnt-black fnt-14"" title="" Ex-Showroom Price"">
Rs. 1.44 Lakh	</div>","<div class=""clr-try fnt-12 pb-10 ht-spec of-hid"">149 cc | 45 kmpl | Petrol</div>"
25,"
Keeway Sixties 300i	","<div class=""b fnt-black fnt-14"" title="" Ex-Showroom Price"">
Rs. 2.99 Lakh	</div>","<div class=""clr-try fnt-12 pb-10 ht-spec of-hid"">278 cc | 27 kmpl | Petrol</div>"
26,"
Aprilia Storm 125	","<div class=""b fnt-black fnt-14"" title="" Ex-Showroom Price"">
Rs. 1.06 Lakh	</div>","<div class=""clr-try fnt-12 pb-10 ht-spec of-hid"">124 cc | Petrol</div>"
27,"
Vespa VXL 125	","<div class=""b fnt-black fnt-14"" title="" Ex-Showroom Price"">
Rs. 1.30 Lakh	</div>","<div class=""clr-try fnt-12 pb-10 ht-spec of-hid"">124 cc | 55 kmpl | Petrol</div>"
28,"
Vespa Elegante 150	","<div class=""b fnt-black fnt-14"" title="" Ex-Showroom Price"">
Rs. 1.56 Lakh	</div>","<div class=""clr-try fnt-12 pb-10 ht-spec of-hid"">149 cc | 45 kmpl | Petrol</div>"
29,"
Vespa SXL 125	","<div class=""b fnt-black fnt-14"" title="" Ex-Showroom Price"">
Rs. 1.34 Lakh	</div>","<div class=""clr-try fnt-12 pb-10 ht-spec of-hid"">124 cc | 47 kmpl | Petrol</div>"
30,"
Vespa SXL 150	","<div class=""b fnt-black fnt-14"" title="" Ex-Showroom Price"">
Rs. 1.48 Lakh	</div>","<div class=""clr-try fnt-12 pb-10 ht-spec of-hid"">149 cc | 45 kmpl | Petrol</div>"
31,"
Aprilia SXR 160	","<div class=""b fnt-black fnt-14"" title="" Ex-Showroom Price"">
Rs. 1.44 Lakh	</div>","<div class=""clr-try fnt-12 pb-10 ht-spec of-hid"">160 cc | 47 kmpl | Petrol</div>"
32,"
Aprilia SXR 125	","<div class=""b fnt-black fnt-14"" title="" Ex-Showroom Price"">
Rs. 1.33 Lakh	</div>","<div class=""clr-try fnt-12 pb-10 ht-spec of-hid"">124 cc | 40 kmpl | Petrol</div>"
33,"
Vespa ZX 125	","<div class=""b fnt-black fnt-14"" title="" Ex-Showroom Price"">
Rs. 1.16 Lakh	</div>","<div class=""clr-try fnt-12 pb-10 ht-spec of-hid"">124 cc | 55 kmpl | Petrol</div>"
34,"
Keeway Vieste 300	","<div class=""b fnt-black fnt-14"" title="" Ex-Showroom Price"">
Rs. 2.99 Lakh	</div>","<div class=""clr-try fnt-12 pb-10 ht-spec of-hid"">278 cc | 21 kmpl | Petrol</div>"
